NO2_t-1,NO2_t+1,NO2_t+2,NO2_t+3
1.854375295806676e-05,2.1287458275764943e-05,2.1753188802146416e-05,2.3033827756080423e-05
3.025301703019068e-05,2.1753188802146416e-05,2.3033827756080423e-05,2.4780197236395903e-05
2.1287458275764943e-05,2.3033827756080423e-05,2.4780197236395903e-05,2.6526566716711383e-05
2.1753188802146416e-05,2.4780197236395903e-05,2.6526566716711383e-05,3.176567515765783e-05
2.3033827756080423e-05,2.6526566716711383e-05,3.176567515765783e-05,3.0019305677342347e-05
2.4780197236395903e-05,3.176567515765783e-05,3.0019305677342347e-05,2.8272936197026867e-05
2.6526566716711383e-05,3.0019305677342347e-05,2.8272936197026867e-05,1.978338865834909e-05
3.176567515765783e-05,2.8272936197026867e-05,1.978338865834909e-05,2.240079575130949e-05
3.0019305677342347e-05,1.978338865834909e-05,2.240079575130949e-05,2.5923797466020915e-05
2.8272936197026867e-05,2.240079575130949e-05,2.5923797466020915e-05,2.4965661737041955e-05
1.978338865834909e-05,2.5923797466020915e-05,2.4965661737041955e-05,2.5018202844269888e-05
2.240079575130949e-05,2.4965661737041955e-05,2.5018202844269888e-05,1.7165981565388695e-05
2.5923797466020915e-05,2.5018202844269888e-05,1.7165981565388695e-05,2.763560993723028e-05
2.4965661737041955e-05,1.7165981565388695e-05,2.763560993723028e-05,2.4007526008063e-05
2.5018202844269888e-05,2.763560993723028e-05,2.4007526008063e-05,1.045138077205155e-05
1.7165981565388695e-05,2.4007526008063e-05,1.045138077205155e-05,1.6381143723265268e-05
2.763560993723028e-05,1.045138077205155e-05,1.6381143723265268e-05,1.7393650287650182e-05
2.4007526008063e-05,1.6381143723265268e-05,1.7393650287650182e-05,1.9707740126183058e-05
1.045138077205155e-05,1.7393650287650182e-05,1.9707740126183058e-05,1.5983478727287513e-05
1.6381143723265268e-05,1.9707740126183058e-05,1.5983478727287513e-05,1.225921732839197e-05
1.7393650287650182e-05,1.5983478727287513e-05,1.225921732839197e-05,1.2765470610584426e-05
1.9707740126183058e-05,1.225921732839197e-05,1.2765470610584426e-05,1.5079560449117303e-05
1.5983478727287513e-05,1.2765470610584426e-05,1.5079560449117303e-05,2.962169609261878e-05
1.225921732839197e-05,1.5079560449117303e-05,2.962169609261878e-05,2.1045779832462588e-05
1.2765470610584426e-05,2.962169609261878e-05,2.1045779832462588e-05,1.675782170238449e-05
1.5079560449117303e-05,2.1045779832462588e-05,1.675782170238449e-05,2.747771702757973e-05
2.962169609261878e-05,1.675782170238449e-05,2.747771702757973e-05,1.4613842637345442e-05
2.1045779832462588e-05,2.747771702757973e-05,1.4613842637345442e-05,1.890180076742354e-05
1.675782170238449e-05,1.4613842637345442e-05,1.890180076742354e-05,2.3189758897501635e-05
2.747771702757973e-05,1.890180076742354e-05,2.3189758897501635e-05,2.533373796254068e-05
1.4613842637345442e-05,2.3189758897501635e-05,2.533373796254068e-05,1.914544210042853e-05
1.890180076742354e-05,2.533373796254068e-05,1.914544210042853e-05,1.7815730340468388e-05
2.3189758897501635e-05,1.914544210042853e-05,1.7815730340468388e-05,1.6348277085853624e-05
2.533373796254068e-05,1.7815730340468388e-05,1.6348277085853624e-05,2.16287639887014e-05
1.914544210042853e-05,1.6348277085853624e-05,2.16287639887014e-05,2.391076880788508e-05
1.7815730340468388e-05,2.16287639887014e-05,2.391076880788508e-05,1.898852053727751e-05
1.6348277085853624e-05,2.391076880788508e-05,1.898852053727751e-05,2.1528105454156805e-05
2.16287639887014e-05,1.898852053727751e-05,2.1528105454156805e-05,2.0800369687397808e-05
2.391076880788508e-05,2.1528105454156805e-05,2.0800369687397808e-05,2.141017057510908e-05
1.898852053727751e-05,2.0800369687397808e-05,2.141017057510908e-05,1.906940672569135e-05
2.1528105454156805e-05,2.141017057510908e-05,1.906940672569135e-05,2.798053490238317e-05
2.0800369687397808e-05,1.906940672569135e-05,2.798053490238317e-05,1.7734861103235744e-05
2.141017057510908e-05,2.798053490238317e-05,1.7734861103235744e-05,3.243609899072908e-05
1.906940672569135e-05,1.7734861103235744e-05,3.243609899072908e-05,2.352497081403726e-05
2.798053490238317e-05,3.243609899072908e-05,2.352497081403726e-05,2.430522543050984e-05
1.7734861103235744e-05,2.352497081403726e-05,2.430522543050984e-05,2.508548004698241e-05
3.243609899072908e-05,2.430522543050984e-05,2.508548004698241e-05,2.079307829464225e-05
2.352497081403726e-05,2.508548004698241e-05,2.079307829464225e-05,2.2818092309700493e-05
2.430522543050984e-05,2.079307829464225e-05,2.2818092309700493e-05,2.180696772098379e-05
2.508548004698241e-05,2.2818092309700493e-05,2.180696772098379e-05,2.0798860835687567e-05
2.079307829464225e-05,2.180696772098379e-05,2.0798860835687567e-05,2.0795843132267084e-05
2.2818092309700493e-05,2.0798860835687567e-05,2.0795843132267084e-05,2.130140542662544e-05
2.180696772098379e-05,2.0795843132267084e-05,2.130140542662544e-05,2.231253001534214e-05
2.0798860835687567e-05,2.130140542662544e-05,2.231253001534214e-05,2.0797351983977325e-05
